code,description,required_qty,cost,retail
913000000589,F /ASS TODS ITALY F2,4,186.510454545455,750
913000000557,F /ASS TOM FORD FR D,-1,0,250
913000000922,F /ASS TOMMY FASHON FR/F2 D,21,27.9449382716049,250
913000000413,F /ASS TOMS ITLY FR,8,32.87,400
913000000623,F /ASS TOP LOOK ITALY FR,88,24.2950617283951,420
913000000918,F /ASS TOP TEN&TRUSSARDI F2,2,34,180
913000000381,F /ASS TORINO&LAMBORGHINI S,60,22.9781578947368,0
913000000237,F /ASS TREND ITALY FR,423,21.255,290
913000000203,F /ASS TRUSSARDI ITALY FR,8,41.4602962962963,480
913000000562,F /ASS TURBO FLEX ITALY FR,21,153.844166666667,490
913000000225,F /ASS TUXEDOS,10,75,180
913000000093,F /ASS TWINS MATRIX F2 D,4,58.6342857142857,350
913000000348,F /ASS TYPHOON F2,3,31.545,350
913000000349,F /ASS TYPHOON FR,23,25.6748979591837,320
913000000491,F /ASS V&L JUNIOR VICTORIO ,57,121.493745928339,330
913000000341,F /ASS VALENTINO RUDY FR D,1,12.2142857142857,250
913000000403,F /ASS VANNI FR,3,48.7233333333333,250
913000000035,F /ASS VERSUS F2 D,1,252.154,350
913000000594,F /ASS VICKY FR ITALY,16,19.563125,350
913000000115,F /ASS VIEERI F2 D,1,51,350
913000000113,F /ASS VIEERI FR D,15,12.7308108108108,250
913000000063,F /ASS VIP SMILE,60,15,94
913000000195,F /ASS VISAGE,6,57.635,250
913000000300,F /ASS VIVIA & WEST WOOD ,1,137,180
913000000436,F /ASS VIVIAN FR D,18,20.0347368421053,250
913000000342,F /ASS VOGUE FR D,2,29.7864615384615,290
913000000329,F /ASS WEST ITALY F2,730,65.2589081885856,465
913000000328,F /ASS WEST ITALY FR,1279,71.7611306413302,380
913000000713,F /ASS WOMAN ITALY FR,68,19.2684988452656,290
913000000502,F /ASS X-MEN & X-MAN FR D,29,33.67,220
913000000256,F /ASS XSPICE FR D,2,16.955,290
913000000119,F /ASS XXX F2,14,72.785,500
913000000921,F /ASS YOGA & VEGA FR D,2,39.835,140
913000000330,F /ASS YSL FR D,26,5.7448717948718,300
913000000303,F /ASS ZERORH F2,2,93.0433333333333,350
913000000304,F /ASS ZERORH FR,3,35.965,250
913000000178,F /ASS ZIM SPEC,3,53,250
911000084001,F /F1 BALDININI 1251,1,0,1080
911000051001,F /F1 BLUE BAY ST,2,108,250
911000061030,F /F1 BURBERRYS-2113,1,331.514545454545,800
911000025050,F /F1 BVLGARI 3019,1,674.56,1400
911000071041,F /F1 COACH 6042,1,346.228571428571,980
911000050018,F /F1 D&G-1169,1,212.733333333333,550
911000041005,F /F1 DKNY 6243,2,240,490
911000005061,F /F1 DOLCE GABBANA 1127,1,283.466666666667,600
911000050041,F /F1 DOLCE GABBANA 1169 ,1,480.15,1000
911000005092,F /F1 DOLCE GABBANA 5004,4,364.964285714286,400
911000031037,F /F1 DUPONT D115-6052-50,2,675,1350
911000028016,F /F1 EXALTO AT-7001,3,458.153333333333,680
911000028090,F /F1 EXALTO ATOM 2906,1,534.7,800
911000028106,F /F1 EXALTO ATOM 2932,3,504.53,750
911000028102,F /F1 EXALTO CO.COMPOSIT,6,593.74,900
911000028110,F /F1 EXALTO DL DELTA,7,395.094285714286,590
911000028086,F /F1 EXALTO IT2801,5,424.854285714286,640
911000028101,F /F1 EXALTO METIS,11,412.98,620
911000028111,F /F1 EXALTO ON/ONDE,5,476.075,710
911000028112,F /F1 EXALTO SA/SABA,10,413.58,620
911000028113,F /F1 EXALTO SI/SISMIK,6,449.94,670
911000028037,F /F1 EXALTO SO2005,1,512.7,770
911000030005,F /F1 FIDELA AIRLIGHT,33,183.744814814815,480
911000030002,F /F1 FIDELA HORIZON,22,119.7265,250
911000029118,F /F1 FRED HAUBAN F1 002,-1,1550,4100
911000029002,F /F1 FRED VINCENT 004,-1,1060.4,3120
911000029107,F /F1 FRED VINCENT F4 002,1,1415,3115
